index,beer/ABV,beer/beerId,beer/brewerId,beer/name,beer/style,review/appearance,review/aroma,review/overall,review/palate,review/taste,review/text,review/timeStruct,review/timeUnix,user/ageInSeconds,user/birthdayRaw,user/birthdayUnix,user/gender,user/profileName;;;;;;;;;;;;
"40163,5.0,46634,14338,Chiostro,Herbed / Spiced Beer,4.0,4.0,4.0,4.0,4.0,""Pours a clouded gold with a thin white head. Nose is quite floral with a larger amount of spices added. Definitely a spice forward fragrance. Flavor has an odd burn that hits on the first sip. After it fades it seems like a dirty vanilla aftertaste. Perhaps this is the absinthe? Regardless of that, I get a quite spiced tone on the tongue. Almost feel a little heat from it. I think that my inexperienced palate on these spices is contributing to my ignorance of what precisely they are. Overall a nice drinker indeed."",""{'min': 38, 'hour': 3, 'mday': 16, 'sec': 10, 'year': 2008, 'wday': 1, 'mon': 12, 'isdst': 0, 'yday': 351}"",1229398690,,,,,RblWthACoz";;;;;;;;;;;;
"8135,11.0,3003,395,Bearded Pat's Barleywine,American Barleywine,4.0,3.5,3.5,3.5,3.0,""12oz bottle into 8oz snifter.		Deep ruby red hue with a one finger light tan head that settles to a thin rim along the glass.		Sharp piercing hops with some light hard candy in the background. 		The hops provide some bitterness, but they aren't as sharp as I would have expected. Mostly a light candy flavor like in the aroma. Full bodied with good carbonation. The finish is some lingering sweet flavor with a bit of bitterness.		A very sweet barleywine with a weird hard candy flavor that seemed to dominate. Not bad, but I would have liked a little more complexity."",""{'min': 38, 'hour': 23, 'mday': 8, 'sec': 58, 'year': 2008, 'wday': 4, 'mon': 8, 'isdst': 0, 'yday': 221}"",1218238738,,,,,BeerSox";;;;;;;;;;;;
"10529,4.7,961,365,Naughty Nellie's Ale,American Pale Ale (APA),3.5,4.0,3.5,3.5,3.5,""First enjoyed at the brewpub about 2 years ago, I finally managed to get a bottle.	Slightly hazy orange-amber topped with a two finger foamy white head.	Very nice fruity aroma, soft and floral, tea and toast.	Fruity, slightly grapefruity hop note, toast and biscuity malt balance. Hoppier and more floral when it warms up.	Light-medium bodied, liked it better on draft but still a solid beer."",""{'min': 7, 'hour': 18, 'mday': 26, 'sec': 2, 'year': 2004, 'wday': 4, 'mon': 11, 'isdst': 0, 'yday': 331}"",1101492422,,,,Male,mschofield";;;;;;;;;;;;
"44610,4.4,429,1,Pilsner Urquell,Czech Pilsener,3.0,3.0,2.5,3.0,3.0,""First thing I noticed after pouring from green bottle to glass was the skunky smell. Overpowering. Lacing was minimal and faded quickly. Bottle had exp date and was still within freshness date. 		Taste was like drinking a milwaukee's best with some skunk. Just couldn't get over the skunky smell to finish my second bottle. Almost $10 a sixer, I would have been better off getting Bud Light."",""{'min': 7, 'hour': 1, 'mday': 20, 'sec': 5, 'year': 2011, 'wday': 0, 'mon': 6, 'isdst': 0, 'yday': 171}"",1308532025,1209827047.0,""Aug 10, 1976"",208508400.0,Male,molegar76";;;;;;;;;;;;
"37062,4.4,4904,1417,Black Sheep Ale (Special),English Pale Ale,4.0,3.0,3.0,3.5,2.5,""A: pours an amber with a one finger head but only with a very strong pour, head recedes to a light layer of foam with some large bubbles and good lacing	S: sweet caramel and bread from the English malts comes through, some mild fruityness on the back end	T: not a lot of complexity with this for me. I didn't expect much considering the style but it's just bland and lacking more bready layers	M/D: more carbonated than I would have wanted. I would expect this to be much better on cask"",""{'min': 51, 'hour': 6, 'mday': 12, 'sec': 48, 'year': 2011, 'wday': 5, 'mon': 3, 'isdst': 0, 'yday': 71}"",1299912708,,,,,Brewbro000";;;;;;;;;;;;
"14095,10.0,21436,14,YouEnjoyMyStout,Russian Imperial Stout,4.0,4.0,4.0,4.0,4.5,""served in a snifter";" on-tap at CBC.		color is the typical imperial stout used motor oil black";" impenetrable. by the time the beer arrived at our table the had had receded into a collar around the glass.		noses offers ample amounts of roastiness, chocolate, molasses and dark fruits, also an atypical tartness to it. not picking up much in the way of bourbon.		flavor imparts more of the same: big notes of roasted malt with chocolate and molasses not far behind, also some dark fruit characters to it and a very distinct and unusual tartness, which adds almost a distinctive flair. more bourbon than i picked up in the aroma but still a subtle presence on that front. medium-full on the palate with average carbonation.		overall a tasty and interesting beer. i like the unique element that the tartness bring";" could use a bigger bourbon presence though. also priced very reasonably at $5.50 a glass."",""{'min': 16, 'hour': 1, 'mday': 20, 'sec': 9, 'year': 2011, 'wday': 1, 'mon': 12, 'isdst': 0, 'yday': 354}"",1324343769,,,,,perrymarcus";;;;;;;;;
"43641,5.2,1018,263,Aecht Schlenkerla Rauchbier Weizen,Rauchbier,4.0,4.0,3.5,5.0,4.0,""After having a bad experience with the Maerzen and an amazing experience with the Helles I decided to get this.		Pours into my weizen glass with a hazy and dark amber/orange and a big foamy off-white head.		Smell is a battle between campfire and hefeweizen. There are hints of burnt wood, roasted malts, lemon, and clove.		The flavor is exactly what I was looking for, nice smoke over a traditional hefe tasting base, the lemon, wheat, and clove flavors are all there and the smoked malt lingers in the background.		The mouthfeel is epic, the perfect feel.		The helles is better than this one but this is an awesome brew right here."",""{'min': 1, 'hour': 0, 'mday': 3, 'sec': 4, 'year': 2010, 'wday': 2, 'mon': 3, 'isdst': 0, 'yday': 62}"",1267574464,,,,Male,crossovert";;;;;;;;;;;;
"36362,6.0,7675,3268,Smoke (Smoked Porter),American Porter,3.5,4.0,3.0,3.5,4.0,""Served at 60 degrees since my wine cellar is on the fritz. poured into my Lucifer goblet.		A: Black like a stout...well not quite black, but probably the darkest porter I can recall seeing. Eggshell foam head dosent stick around too long, although there is a nice bit that clings to the glass and leaves some sheet like lacing.		S: Very pleased with the smell of this. the 2 other smoked beers (rauchbiers) Ive had did not impress me... actually they smelled like ham... This thankfully is very balanced with fruity esters, smoke, hops and yeast. Quite complex and inviting. Could almost fool me into thinking this is oaked. 		T: Again this is quite balanced, and not what I was expecting. A well crafted beer from O'Fallon. The smoke is very well placed and not overwhelming.		M: A little sticky, kinda thick... I guess it's a porter to its allowed to be.		D: A good beer to have around, although I cant see myself sessioning this one... would be awesome to have this on tap at a Jewish deli or something though...Caplansky's Deli on College St are you reading this??"",""{'min': 55, 'hour': 23, 'mday': 12, 'sec': 45, 'year': 2010, 'wday': 1, 'mon': 10, 'isdst': 0, 'yday': 285}"",1286927745,1090508647.0,""May 22, 1980"",327826800.0,Male,uno99";;;;;;;;;;;;
"42860,5.4,727,263,Aecht Schlenkerla Rauchbier MÃ¤rzen,Rauchbier,3.5,4.5,4.0,4.0,4.5,""Wow. One whiff of this and you're magically transported to a campfire somewhere in the woods. I read up on this beer a little and it sounded weird enough to try. This is my first experience with the style and I've gotta say... I like it!		Not much in the way of a head, even when poured strongly. Leaves only small dots of lace here and there. Color is a clear, but dark brown.		Aroma is very woody, smoky, and almost meat-like, with a malty undercurrent. Just a hint of noticable hops in the background.		Flavor is unlike anything I've experienced. An obvious earthy, woodsmoke flavor, like bacon or jerky, over a malty sweetness and just enough hops to keep it balanced. Aftertaste has a hint of pipe tobacco.		Mouthfeel is smooth with just a tiny bite of gentle carbonation. Medium bodied.		This is a very interesting beer/style. I really enjoyed it. Not an everyday beer, but it's a nice novelty treat. Would pair perfectly with some southern pork BBQ, smoked whitefish, or maybe a smoked Gouda & crackers."",""{'min': 8, 'hour': 3, 'mday': 28, 'sec': 0, 'year': 2008, 'wday': 4, 'mon': 3, 'isdst': 0, 'yday': 88}"",1206673680,,,,,Hoagie1973";;;;;;;;;;;;
"43116,5.4,727,263,Aecht Schlenkerla Rauchbier MÃ¤rzen,Rauchbier,4.5,5.0,4.5,4.5,5.0,""5/11/05		Had to re-review this since I've had it so many times since the original review and my views have changed drastically. What can I say but this is the difinitive rauchbier that is the smokiest it gets. Nice strong beechwood smoke flavor upfront reminiscent of smoked fish or meat that may be overwhelming at first, but then dissapates the more you drink. The malt is very sweet and sugary like a marzen but is has a substantial enough bitterness on the back end to make it more balanced than a marzen. Smoke flavors are strong at first, but after a few pints, only slightly noticeable. Creamy mouthfeel makes this feel slick going down. I can't get enough of this magical elixer.		---	6/03/02	Who put sardines in my beer? The oily, smoked fish aroma is much stronger than it tastes and is quite pleasant after a few sips. After my first sip I wondered how I was going to finish the bottle, after my last, I wanted another bottle. Went great with a hunk of Jarlsberg cheese."",""{'min': 10, 'hour': 20, 'mday': 11, 'sec': 49, 'year': 2005, 'wday': 2, 'mon': 5, 'isdst': 0, 'yday': 131}"",1115842249,,,,,Longstaff";;;;;;;;;;;;
"33520,11.2,19960,1199,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,5.0,5.0,5.0,5.0,5.0,""Ok.. These notes are from my experience in savannah ga on my wedding day.. again at my favorite craft beer bar in the U.S. The distillery.. gorgeous speak easy prohibition style bar.. Awesome staff.. knowlegable.. met with my good friend Ben.. who gave me an awesome gift.. 2010 KBS and 2011 KBS... side by side.. WTF..		2010:	Poured dark like motor oil.. very little head. but what is there is tan.. dissapates to slight spotting among the top		smells, rich, earthy woodgrain.. bourbon, sweet chocolates..		smooth mouthfeel.. full full body		I can immediately detect the taste of bourbon oak, vanilla bean, roasted chocolate malts.. crazy bourbon alcohol finish from the age.. slight hoppy finish.. very subtle.		f..king phenomenal.. speechless.. Took me an hour to drink this.		Thank you Ben.. What an awesome day!! Married an awesome woman.. and drinking awesome beer. Cheers."",""{'min': 23, 'hour': 17, 'mday': 27, 'sec': 18, 'year': 2011, 'wday': 1, 'mon': 9, 'isdst': 0, 'yday': 270}"",1317144198,994950247.0,""Jun 2, 1983"",423385200.0,Male,hopking311";;;;;;;;;;;;
"35888,6.2,39299,3268,Goats Breath Bock,Bock,3.0,3.0,3.0,2.5,3.0,""Thank you Mandy, for this bottle. 		Poured into pokal glass at 41 degrees. 		Appearance: A beautiful medium copper color with orange hues. There is some very little effervescence coming from the bottom of the glass. The clarity of the beer is clear with some haziness. The one finger head dropped like a rock in a canyon, leaving an ivory ring around the glass. 		Nose: A medium maltiness with some caramel and biscuit/toast aroma. 		Taste: A mild maltiness with caramel and biscuit notes. 		Overall: The mouth feel is some carbonation and dry. The body of the beer is medium with a light finish. The finish of the beer is a bit rough. There is an odd floral/ dry hop flavor that make this beer dry and a little harsh. The beer is lacks the complex maltiness that comes with a really good bock. The beer is just okay."",""{'min': 47, 'hour': 21, 'mday': 10, 'sec': 52, 'year': 2009, 'wday': 6, 'mon': 5, 'isdst': 0, 'yday': 130}"",1241992072,1100873047.0,""Jan 23, 1980"",317462400.0,Male,colts9016";;;;;;;;;;;;
"45011,4.7,49865,1,Gambrinus Excelent (Gambrinus 11),Czech Pilsener,4.0,3.5,3.5,4.0,4.0,""On tap at the Plzen Zoo and elsewhere in Prague: review from 2 tastings. 		A: Clear golden color with a limited but durable bone head. excellent clarity"; fine carbonation;" leaves ample lacing		S: rather standard Czech pilsner aroma. As usual, no off odors and both hops and malt are primary components. Nothing really great or bad. 		T: Rather average Czech pilsner at first, but this has a finer finish. Excellent malt/hop balance for style. A hoppy, mildly bitter finish 		M: smooth with excellent (medium) carbonation. semi-dry finish		O: a fine choice for an inexpensive lager."",""{'min': 29, 'hour': 22, 'mday': 18, 'sec': 7, 'year': 2011, 'wday': 0, 'mon': 7, 'isdst': 0, 'yday': 199}"",1311028147,,,,Male,chinchill";;;;;;;;;;
"46067,5.5,50005,5970,MÃ¤rzen,MÃ¤rzen / Oktoberfest,4.0,3.5,3.5,3.5,3.5,""A nice orangy amber-colour with a decent head and good lacing.		Compared to other Mrzen's the nose on this one is a bit more fruity, heading into a sour direction. Malt is spicy and slightly caramel-like. There is an unusual undertone to the nose that is somewhat like vegetables, cabbage maybe.		Less sweet than expected when tasted. Malt is salty and rather spicy and imparts some toasted flavors in the finish. An earthy, hoppy flavor pops up that turns bitter in the end.		A bit too low on carbonation and a soft mouthfeel."",""{'min': 8, 'hour': 22, 'mday': 24, 'sec': 34, 'year': 2009, 'wday': 6, 'mon': 5, 'isdst': 0, 'yday': 144}"",1243202914,,,,,TKempe";;;;;;;;;;;;
"49501,10.0,20470,394,Stoudt's Double IPA (India Pale Ale),American Double / Imperial IPA,4.0,4.5,4.0,3.5,4.5,""12 oz bottle, brewed and bottled at Stoudts in Adamstown.		A chill-hazy dull orange body, with bits of carbonation rising, topped by a three-finger cylinder of just-barely-off-white-to-white foam. A bit of decent lacing.		Nice citrusy aroma, extremely fresh, and heavy with oranges. Carries well.		Good solid malt background arrives with a solid crash-thru-the-door of sweetness. A barrage of hops slowly arise, scrubbing down everything in reach, balancing, and finally taking control as the liquid flows away, leaving the hops nipping away at the tongue and the insides of the cheeks in a nice lingering afterbite.		Mouthfeel has a slight watery aspect at times, but at other times the beer feels solidly firm. Not a significant defect.		10% ABV? No way, can't be. This is a very easy drinking """"big"""" ipa.		The beginning of a new big, bolder era for Stoudts? I am surprised and impressed. Go out and grab some."",""{'min': 47, 'hour': 4, 'mday': 15, 'sec': 32, 'year': 2005, 'wday': 5, 'mon': 1, 'isdst': 0, 'yday': 15}"",1105764452,,,,,RonfromJersey";;;;;;;;;;;;
"7498,5.0,62198,765,Trafalgar Hop Nouveau 2010,American Pale Ale (APA),3.5,3.0,3.5,3.0,3.0,""A nice finish, but not nearly as hoppy as I'd hoped it would be. Disappointing for the price premium. Agree with other reviews in labelling it """"thin"""", as definitely a narrow flavour profile. However any Pale Ale that manages any flavour at all at 5% ABV is welcome in my world, so I'll certainly trial any future releases."",""{'min': 12, 'hour': 23, 'mday': 31, 'sec': 24, 'year': 2010, 'wday': 6, 'mon': 10, 'isdst': 0, 'yday': 304}"",1288566744,,,,Female,hopsolutely";;;;;;;;;;;;
"32105,11.2,19960,1199,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,4.5,4.0,3.5,4.0,4.0,""I have been saving trying this one for a month or so. Easter was the day. Poured a very dark black with no head. Definite whisky nose with some coffee. Great flavor, coffee, chocolate. Very thick mouthfeel. Was a sipper for sure and I think one at a time is enough. Thats good for me since I paid so much for it. Great RIS!"",""{'min': 2, 'hour': 15, 'mday': 12, 'sec': 14, 'year': 2009, 'wday': 6, 'mon': 4, 'isdst': 0, 'yday': 102}"",1239548534,,,,,flexinwext";;;;;;;;;;;;
"37420,5.7,3939,1417,Riggwelter Yorkshire Ale,English Brown Ale,4.5,4.0,4.0,4.0,4.0,""Poured from a 16.9 oz bottle into a mug.		I picked this one up because the black sheep on the label reminds me of my 14 year old black lab. He's quite fat, and he spends a lot of time on his back, kicking his legs up, begging everyone around to scratch his belly.		Pours a dark brown with some amber-reddish highlights. Three fingers of plush foam retain well, and leave behind gobs of sticky lacing. I like the way this beer looks.		Fairly complex aroma despite not being very assertive. Some lightly roasted malts, bitter coffee, caramel, and some sweet dark fruits. 		Dark malts lead the way. There's a decent bit of coffee flavor, caramel. There's a flavor in here that almost tastes like tea. After checking other reviews, I've seen tobacco pop up a few times. Maybe that's it. I have no clue what tobacco tastes like.		Body is medium. The flavor is rich. Pretty dry finish. Bitter for a brown. Pretty easy drinker, I had no trouble putting this away. Quality brew."",""{'min': 47, 'hour': 3, 'mday': 6, 'sec': 33, 'year': 2009, 'wday': 2, 'mon': 5, 'isdst': 0, 'yday': 126}"",1241581653,,,,,Gyle41386";;;;;;;;;;;;
"26014,6.6,16074,1199,Founders Red's Rye PA,Rye Beer,4.0,4.5,5.0,4.0,4.5,""Growler picked up at Founders. 		A perfectly balanced and drinkable beer. This is an IPA made with rye. A great mix of the bitter hops flavors and the sweeter caramel/rye flavors makes this probably one of the best beers I've had from Founders, at least of the sessionable non-overpowering variety. Medium bodied and exceptionally drinkable. Not overly intense or complex flavors, but delicious."",""{'min': 37, 'hour': 0, 'mday': 27, 'sec': 53, 'year': 2009, 'wday': 0, 'mon': 7, 'isdst': 0, 'yday': 208}"",1248655073,,,,Male,webmanspidey";;;;;;;;;;;;
"35778,5.0,7672,3268,Unfiltered Wheat,American Pale Wheat Ale,2.0,3.0,4.5,4.0,3.5,""Translucent, pale canary yellow color. Nice white head that vanishes without a trace.		Smells like sugary cornbread malt with lemon juice.		Not that wheaty. Light and refreshing it's lemon heavy with a mild yeasty harumpf at the end. Tastes like summer.		I like it. My new favorite bad beer since Harpoon Winter Warmer."",""{'min': 17, 'hour': 13, 'mday': 5, 'sec': 37, 'year': 2009, 'wday': 4, 'mon': 6, 'isdst': 0, 'yday': 156}"",1244207857,,,,,donkeyrunner";;;;;;;;;;;;
"42555,5.4,727,263,Aecht Schlenkerla Rauchbier MÃ¤rzen,Rauchbier,4.0,4.5,4.0,4.0,4.0,""A: The beer poured very dark amber (near black) into a glass mug. It doesn't have good head retention but a moderate level of carbonation is visible.	S: A distinct smoky aroma is evident in the nose--the kind of smell you might associate with smoked sausages.	T: The taste pretty much follows the smell and is smoky with roasted malts and caramel notes in the background.	M: It feels medium-bodied on the palate and very smooth.	D: This beer was very easy to drink. The aroma and taste are intriguing by themselves, but I could definitely see paring this up with German food (landjger immediately comes to mind) or barbeque."",""{'min': 12, 'hour': 4, 'mday': 30, 'sec': 14, 'year': 2010, 'wday': 4, 'mon': 4, 'isdst': 0, 'yday': 120}"",1272600734,,,,Male,metter98";;;;;;;;;;;;
"29887,7.2,5441,1199,Founders Centennial IPA,American IPA,4.0,4.0,4.5,4.5,4.0,""Orange glow in the light, the color is a hazy reddish orange. A fine carbonation rises and sits for a few minutes, no lacing in the glass, but a layer of tiny bubbles float during the whole beer. Aromas are of hop and apricot. Flavor is hop forward but nicely balanced, big citrus fruits and apricot with a light but refreshing bitter finish. Mouthfeel is light and crisp with a pleasant lingering citrus hop flavor. Very tasty brew, always in the fridge."",""{'min': 26, 'hour': 22, 'mday': 25, 'sec': 47, 'year': 2011, 'wday': 2, 'mon': 5, 'isdst': 0, 'yday': 145}"",1306362407,,,,,Tripphop";;;;;;;;;;;;
"30060,7.2,5441,1199,Founders Centennial IPA,American IPA,3.5,4.0,3.0,4.5,4.5,""12oz bottle 		Poured into my Hofbrau willibecher.		A- Cloudy light amber body due to dry hopping with a 2 finger rocky white head that reduces quickly producing good to average lacing.		S- Lots of pine and citrus		T- Faint floral note in the beginning with an understated biscuit note with finishes with a large rise in grapefruit hop bite bitterness which lingers on. Dry finish		M- Moderate carbonation and body.		D- Its definintely an excellent example of the style but its just not a style that i consider to have high drinkability due to the combination of high abv, high hop domination and dry finish. Not refreshing, if anything it makes me more thirsty!"",""{'min': 56, 'hour': 20, 'mday': 26, 'sec': 7, 'year': 2010, 'wday': 6, 'mon': 12, 'isdst': 0, 'yday': 360}"",1293396967,,,,Male,seanyfo";;;;;;;;;;;;
"11001,4.5,22907,453,Zlatorog,Czech Pilsener,3.0,3.5,4.0,4.0,4.0,""This was a very nice pilsner... very drinkable and session worthy. I actually drank it in Croatia, and preferred it to the Croatian alternatives. (which were pretty good too...) It reminded me a lot of Sierra Nevada Pilsner, it has a nice slight fruity quality to it."",""{'min': 14, 'hour': 22, 'mday': 23, 'sec': 43, 'year': 2006, 'wday': 6, 'mon': 7, 'isdst': 0, 'yday': 204}"",1153692883,,,,Male,flexabull";;;;;;;;;;;;
"45938,4.0,10265,3351,Carling,Euro Pale Lager,2.5,2.0,2.0,2.0,2.0,""On draught into Carling pint glass in Ennis, Ireland. 		A: 1.5 finger head of fair cream. Clear blonde with a light bubble show. 		Sm: Clean barley. 		T: Fizzy open and finish. Clean barley taste with malt and a few hops. Generic and simple. 		Mf: Overcarbonated";" too coarse for the style. Too fizzy. Too wet. 		Dr: A crap beer for the masses. Leave it be, lads. Price is alright."",""{'min': 12, 'hour': 23, 'mday': 10, 'sec': 11, 'year': 2011, 'wday': 3, 'mon': 3, 'isdst': 0, 'yday': 69}"",1299798731,792252247.0,""Nov 3, 1989"",626083200.0,Male,kojevergas";;;;;;;;;;;
"7483,5.0,38552,765,Trafalgar Smoked Oatmeal Stout,Smoked Beer,3.0,2.5,3.5,3.5,3.5,""22oz bottle with silver foil top. best before JAN 08.		pours deep red. nearly brown, but clearly red when held to the light. a small tan head drops off quickly leaving only a bit of spotty lace.		aroma is ok, but neither smoky or stout-y. tons of fruit - raspberry mostly, but bit of cherry too. hint of roast. light bready malt. slightly sour too.		taste is better. light roast. nice mellow smoke. lots of bread and cracker malts. dark chocolate. coffee. low bitterness level. the fruit is sill there, but quite subdued. as it warms the smoke is slowly replaced by the raspberry.		mouthfeel is ok. medium-low carbonation level. medium body feels a touch thin for a stout.		drinkability is good. it's an odd mesh of flavours, but ignoring style it's not all that bad. certainly above caliber for most of the trafalgar stuff i've sampled and i probably wouldn't say no to another."",""{'min': 55, 'hour': 0, 'mday': 29, 'sec': 59, 'year': 2007, 'wday': 5, 'mon': 9, 'isdst': 0, 'yday': 272}"",1191027359,1270825447.0,""Sep 4, 1974"",147510000.0,Male,grub";;;;;;;;;;;;
"28869,11.0,49077,1199,Founders Maple Mountain Brown,American Strong Ale,4.0,4.0,4.0,3.5,4.0,""Reviewed on 8/15/09 at Capone's CBS day,		Appearance: Maple brown and clear. lol		Smell: Sweet maple syrup and alcohol.		Taste: Like the nose, opens with a sweet malt and maple syrup, transitions from middle to the end with and earthy wood and alcohol, leaving a sweet yet dry aftertaste.		Mouthfeel: Light to medium bodied with moderate carbonation, the sweetness lingers on the palate for a while.		Drinkability: Had the alcohol in this not been as high I would drink another but the alcohol does have a slight warming effect, I would have another on a cooler day."",""{'min': 48, 'hour': 3, 'mday': 17, 'sec': 48, 'year': 2009, 'wday': 0, 'mon': 8, 'isdst': 0, 'yday': 229}"",1250480928,,,,Male,capra12";;;;;;;;;;;;
"18057,10.2,35036,1199,Founders Backwoods Bastard,Scotch Ale / Wee Heavy,4.5,5.0,5.0,5.0,5.0,""Okay, this is my first review. Let me start by saying, first, thanks for reading. Second, you need to go find this beer. There's a reason I haven't reviewed a beer yet. I haven't discovered one so unique to bother. Seriously though, I'm not sophisticated enough to differentiate the subtle nuances between the many different styles and many different brewers. I've been a cheap beer drinker all my life until the past few months. You'll never witness me ripping on a 30pack of Red Dog, but recently, my tastes have become a bit more refined. I hesitate say but now it's more about the quality than the quantity. I bought six random (local/Michigan) beers tonight. There were porters and trippels but I saved this particular bottle 'til last. I always pick one that I believe will stand out as my final beer. This was it. However, I had to take a trip BACK to the beer store for more of this TONIGHT. 		I didn't note the pour, color, bouquet or head. What I did note was the terrific initial taste and the pleasureably sweet subsequent aftertaste. Aftertaste is usually a bad word, but with this beer it is the dessert. Reviews compare this beer to Founder's Dirty Bastard but I taste no similarities. For a heavy HEAVY (10.2%) beer, this is a delightfully pleasant and refreshing brew that far surpasses all expectations."",""{'min': 31, 'hour': 5, 'mday': 15, 'sec': 55, 'year': 2008, 'wday': 5, 'mon': 11, 'isdst': 0, 'yday': 320}"",1226727115,1313935447.0,""Apr 23, 1973"",104400000.0,Male,seitzka";;;;;;;;;;;;
"8634,5.6,1123,395,Dark Star Porter,English Porter,3.0,3.5,4.0,3.0,4.0,""Dark brown colored body with a timid and fleeting head. The aroma is a bit sharp and roasty with a little chocolate. The same follows into the flavor with a little toasted bread flavor in the middle. This is not a bad porter, although it is slightly metallic toward the end."",""{'min': 12, 'hour': 8, 'mday': 25, 'sec': 25, 'year': 2004, 'wday': 2, 'mon': 2, 'isdst': 0, 'yday': 56}"",1077696745,1100009047.0,""Feb 2, 1980"",318326400.0,,aracauna";;;;;;;;;;;;
"6250,5.4,48555,21516,Kirkland Signature Pale Ale,American Pale Ale (APA),4.0,4.0,4.0,4.0,4.0,""There isn't anything wrong with this ale. It is well crafted and has good balance. It has a taste that reminds me of Sam Adams Boston Lager, even though they are different styles. It's not an over the top brew, it's very reserved. 		I will try to get more of this, but I will need to count on my sister and her Costco membership. There isn't one close to me."",""{'min': 50, 'hour': 1, 'mday': 22, 'sec': 29, 'year': 2011, 'wday': 6, 'mon': 5, 'isdst': 0, 'yday': 142}"",1306029029,1824818647.0,""Feb 13, 1957"",-406483200.0,Male,schoolboy";;;;;;;;;;;;
"35931,6.2,39299,3268,Goats Breath Bock,Bock,4.0,4.0,4.5,3.5,4.0,""A: Rich clear amber, nice head, spotty lacing.		S: Some fruit, malts. Earthy as hell. 		T: Sweet/tart. Nice roasted malts, slightly bitter on the back. Some chocolate milk.		M: Coats mouth with a sweet, slight molasses feel. Good amount of carb--not too much, not too little.		D: Easy, east drinker. I'd love to have this available year-round, would be a great session beer for me. I love Bocks & Doppels, and this is a great bock. Interesting as an ale, and using Kolsch yeast. Nice..."",""{'min': 36, 'hour': 3, 'mday': 10, 'sec': 8, 'year': 2007, 'wday': 5, 'mon': 11, 'isdst': 0, 'yday': 314}"",1194665768,,,,,KI9A";;;;;;;;;;;;
"16128,12.0,17538,1199,Founders Devil Dancer,American Double / Imperial IPA,4.0,4.0,4.0,3.5,4.5,""A- Poured into a snifter... nice dark amber color with little head that recedes... leaves light lacing. Little activity		S- Smells extremely hoppy with a little bread smell as well as alcohol aroma		T- For the most part it tastes like it smells. Sweet malty start with an crazy hop follow through. Don't notice the alcohol in the taste as much as in the smell		M- Medium bodied with little carbonation. Leaves hop flavor clinging to your mouth after swallowing		D- Aside from the high abv, very drinkable... especially for a real hophead		CHEERS!!"",""{'min': 52, 'hour': 1, 'mday': 26, 'sec': 35, 'year': 2009, 'wday': 2, 'mon': 8, 'isdst': 0, 'yday': 238}"",1251251555,1037282647.0,""Jan 28, 1982"",381052800.0,Male,bbeane";;;;;;;;;;;;
"6314,5.7,48556,21516,Kirkland Signature Amber Ale,American Amber / Red Ale,3.0,3.0,3.0,3.0,3.5,""I was very hesitant to drink this based on the label and my experience with other Kirkland brews. I truly did enjoy this beer though. After being poured into a glass, the head disappeared fairly quickly. The color was nice and dark and there were slight carmel scents emitting. It tasted like a basic sweet Amber Ale and nothing too special. But for the price, this is not a terrible option."",""{'min': 27, 'hour': 15, 'mday': 1, 'sec': 18, 'year': 2011, 'wday': 0, 'mon': 8, 'isdst': 0, 'yday': 213}"",1312212438,,,,,BEERME528";;;;;;;;;;;;
"6067,7.2,32371,2446,Whiskey River IPA,American IPA,4.0,4.0,4.0,4.0,4.5,""On tap at Mac's Speed Shop (Steele Creek). I only sampled this beer, but would have enjoyed a much larger glass. Tan to amber in the glass with somewhat opaque yellow highlights. Some carbonation visible, but this isn't about the carbonation. A definite whisky-like scent in the nose. Ironically, the taste is at first IPA (almost Belgian in its complexity) with nicely balanced malt and rich fruity hops that is immediately followed by the whiskey flavor (again, felt mostly in the nose) that provides both a rich oak flavor and a nice dry finish. A touch higher ABV renders it a sipping beer, but one that goes very well with the stellar BBQ at Mac's."",""{'min': 52, 'hour': 14, 'mday': 6, 'sec': 28, 'year': 2010, 'wday': 1, 'mon': 7, 'isdst': 0, 'yday': 187}"",1278427948,,,,Male,tugdriver7";;;;;;;;;;;;
"23782,8.5,7463,1199,Founders Dirty Bastard,Scotch Ale / Wee Heavy,3.5,4.0,3.5,4.0,4.0,""Consumed 8/1/09- from notes.		Brown 12oz bottle poured into a pint glass.		A- Deep reddish copper with a thin off white head. Not alot of lacing.		S- Sweet earthy malts, molassas, vanilla, more that I cant nail down.		T- Sweet dark fruits, vanilla again, roasted malt and oak like hints.		M- Medium, a little sticky, a little carbination tingle.		D- My first beer from Founders. A very good beer but not something I'd have more than one of in a sitting."",""{'min': 53, 'hour': 13, 'mday': 3, 'sec': 27, 'year': 2009, 'wday': 0, 'mon': 8, 'isdst': 0, 'yday': 215}"",1249307607,,,,,tatoodkelt";;;;;;;;;;;;
